Title,Text,Rating,Trip Date
"Excellent Location, Nice Property but Poor Maintenance","This is my visit to Kovalam. I stayed in this resort in the month of July 2013 for three days. I booked through cleartrip portal so i got the very good deal for my stay in this resort. One need to walk through the back door of the resort and it will take you to the Kovalam Beach just amazingly 200 Mtr from the resort. I got the sea view room so the views were awesome from my room. Since i visited this report in off season so the main pool was not opened. When i asked about this to management, i was told that it's under construction but there were not construction work going on. I would like to write my experience:Good: The property location is excellent. Resort is amazing. That's it.Bad: Maintenance of the resort is really very bad. There were lots of points to write about the same but i will not write in details because they have to improve the condition of every bit of the resort. Be it room, wash room, swimming pool, balcony of the sea facing room, white wash of rooms, garden... i mean everything. About Food:Food is of average quality and staff in restaurant need to know a word called ""service"" and ""customer satisfaction"". There are variable rates for food in restaurant for member and non-member of country club. I do not like this personally.There was also one incident when we wanted to have our dinner in restaurant but were told that we can not take the same. If we want to had dinner, we have to take buffet that is truly insulting. I mean how can any management insult there customers like this. I am sorry.I have visited so many resorts in various cities.... this was very disturbing experience for me. I will recommend this resort only for its location and proximity to kovalam beach.Visited in Juky 2013 with friends!",3,July 2013
Relaxing stay and Spa,"We decided to choose this resort because of membership we have and wanted to experience kerala spa with Beach access. This hotel is around 15 Km from Trivandrum and can be accessed by Taxi / Auto / Bus service from the city. The resort is very near to famous Ashoka beach but access to beach is not very friendly ( you have to walk through a kind of hilly area without good road or steps). The resort is known for good spa and we experienced it twice , it is an excellent kerala style spa where they use all herbal products ( we had full body massage). Breakfast and Dinner served at the resort was excellent and the restaurant staff are very cooperative and friendly Good about this resort :Very silent Near but not so near to town Good road access Friendly staff Very good food Good swimming poolAccess to beach Not so good :Not very well maintained rooms Some of the electrical switches were not working Bath room fittings are not maintained wellOne of the swimming pool is under maintenance and it looks like its like that from long time Verdict : Overall a very good experience , you will enjoy if you are expectations are limited to spa , beach and silence but not too much of luxury",4,October 2014
BED EXPIRIENCE,"hotel staff is not so good,average hotel,hotel is near beach but way is not good to reach beachand also swimming pool is under maintenance,studio room is under maintenance.we are group of 6 couples are visited in this hotel.",2,October 2014
Pathetic,"My worst experience during the last two days of my trip. The resort has dirty rooms with leaking A/cs, and cracks all over the wall. The Doctor in the Ayurvedic Spa was very rude and blunt. I actually cancelled a Ayurveda massage that I had booked . The staff in the reception are very rough when comes to dealing with customers. The complementary breakfast was cold,stiff and smelled as if it was prepared 5 days back.",1,April 2012
terrible,"When we reached there we were happy to see the location, but the rooms were dirty, toilet had urine stains, the housekeeping tried to remove it but was of no use. swimming pools were good , massage and restaurant  were  better , later when we came back from beach,  I found my new Reebok sandal missing from my room , I have registered a complained in their register  and till now I have not received them back nor any revert.",1,February 2012
Worst experience ever,"From Check in to Check out, it was a painful experience.1. The road leading to the resort is narrow infact a one way with lots of twists and turns, there are no sign boards or markers to guide. For someone who doesn't know the path, it is almost impossible to reach.2. Rooms are smelly, unhiegenic and  poorly maintained. once you checkin, first 2 hours will be spent in getting things fixed or corrected. Alternate rooms shown are also smelly. only option they have for this is turn on the Ac.3, The room service is too slow and poor. be prepared to eat cold food, cold tea when you order anything. you will have to check on it atleast 3-4 times.4. there is a small way to reach the beach from back side of hotel, which is poorly maintained and difficult to manouver. 5. once you checkin you will get a call from country vactions, to visit them and they will ask for your feedback, when you give them a poor feedback, instead of getting things corrected, they will try and sell you a membership.6. Food served in restaurant is poorly cooked, sometime you will feel it is stale and cold.All in all, if you are on vacation and have booked this resort as i did, be ready for a bad experience,",1,October 2013
disgusting experience in kerala which is otherwise truely God's own country..,"our stay in kerala from 14th to 24th march was one of the most memorable experiences as yet..except for our two nights stay in Country spa.the moment we reached the resort(?), we could sense the irresponsible behavior of its staff. we had to wait for nearly 45 mins to finally  get into a shabby room with a dirty bathroom.then when we asked for a jug of warm water, for 1 hour which we waited anxiously so as to quench the thirst of our 2 yrs old sick child.we ordered for 2 cups of tea  before dinner but that never arrived our room..as my child was vomitting so i could not feed her in the restaurant.so i requested the person attending there to pack 1 slice of bread., 1 idli and a boiled egg so that i could feed her in the room..1 st day he had no issue bt the 2nd day, with a disgusting gloomy face he replied that it was a complimentary breakfast so i could nt take the things to room....man... everywhere we had a ""Complimentary Breakfast"" and everybody very willingly help us to feed the baby.....this was the outcome of our refusal to take the membership of the club...right???cheap business.....the room cleaning and changing of bath linen everyday was also not done which are otherwise complimentary for the ""Great Country Spa"""".....my worst wishes are with u a so that you can recover from the grasp of cheap and inhuman business....",1,March 2012
*****PLEASE AVOID IT AL ALL COST*****,"A member of country club and had a terrible experience on my recent visit. The first room allotted was 306. It had a broken washbasin, the water faucets were rusted and looked unhygienic, live electric wires were hanging next to the shower and were exposed. Looked like a third class hotel which you can book for 500rs a night. The soap and shampoo provided were of the worst quality the soap smelt like crap. It was probable the cheapest in the market. there was no toilet paper and had to call 5 times before they could supply it. They said that they do not have earbuds when asked for it. The place is run by a bunch of disinterested employees who are doing their job for the heck of it, the kind of people that you find in a remote branch of government bank. The swimming pool had bird droppings floating on all 6 days that i stayed there. The sambar tasted like crap and the food was not at all up to the mark. I booked a cab to Kanyakumari from their travel desk. The executive convinced me to book it for the sunrise which meant that we had to get up at 3 AM and be ready by 4AM. When we reached the spot, it was clear the driver had slept and forgotten and made a story that there is a strike. It wasted our entire day. Later i booked a self drive car and went on my own only to realize that there was no strike. Highly unprofessional and unapologetic. The property itself is at a good location but it will spoil your trip as there is no maintenance everything is fixed with the makeshift items and nothing is fixed professionally making the property a piece of crap. You can book a 1000 times better property on the lighthouse beach at half the price. Even if you stay in a tent it would be much better than staying in this horrible place.",1,January 2017
Dont waste your time and money,"Management is so horrible..you will feel like they are doing favor on you by letting you stay in there Resort.Food was so gross because of it we decided to pack our food from outside,while reaching in resort we asked for plates they told us ,we cant give plates as you have not taken food from our resort..such a childish behavior..Manager  of Resort ""MR.VALU"" was such a arrogant,Rude and stubborn person, he will treat you like his subordinate rather then customer.PS:if u have planned for this resort, my free advise is to cancel it",1,August 2016
Needs Maintenance and proper management,"The resort was built with lot of attention to detail, but was maintained with attention to nothing.The access road to the resort is very small. The road from the resort to the beach is very poor and smelly.Resort restaurant is very good. Food quality and taste is good.Spa is also quite good. Massage is very relaxing, a must try at this resort.AC was working fine in the rooms so sleep quality was good.Swimming pool needs to be maintained properly.It will be a good stay if we go with very low expectations.",2,February 2015
