Title,Text,Rating,Trip Date
Amazing stay,"Had a lovely stay at this resort and could not have asked for a better 2 weeks. We visited for our honeymoon and we could not have been looked after enough. The staff were so friendly and on hand to help if we needed anything The hotel was clean and our rooms were cleaned daily by vaibhav and Suraj who did a good job The pool staff were so helpful and always asking if you wanted drinks It had a bar which was stocked with most things and the dinner in the evening was a Buffet although an al a carte was also available. The buffet had a good choice of vegetable options, meat and fish and they had both spicy and non spicy options. The al a carte menu also had some home comfort foods such as burger, pizza and pastas if you are worried about there not being anything like that! There is a shop a 30 second walk away which sells most things you could want - only small but convenient and run by a lovely man. There is also a clothes shop, jewellery shop and a pharmacy like place. The beach is right there also and is a lovely clean quiet beachIf you are going to venture out the hotel does have a taxi on site the whole time but they do charge over double what it should be - we got hold of some local numbers and whatsapped them to set up a time and they were very helpful and cheap (about 300 rupee for a 15 min journey) +91 97301 15565 or +91 70288 22221",5,December 2019
Excellent Stay,"We stayed here for our honeymoon end of December into January and had the most wonderful stay. Our room was lovely - we did go for the suite and it was very clean and was cleaned everyday by vaibhav and suraj We received excellent service by the pool also with the two pool staff always asking if we wanted a drink or anything and was very friendly and helpful The restaurant was also very good and we enjoyed the food - it was a buffet but had lots of choice for both meat eaters And veg eaters and also hot food and not so spicy food. They also had a fish option and soup and bread. There was also an al a crate available if you fancied something different or comfort food such as pizza , burgers etc The location was also good with the beach being right at the end of the resort and there was also a few little shops just a 30 second walk from the hotel. A food and drink shop with a very friendly owner which sold most things , a jewellery shop, clothes shop and a pharmacy like place There are also taxis available on the premises although I heard these were very expensive so if you can get a localOne that is better The staff were also couldn’t be friendlier - very helpful always and cheeryWe also stayed here for New Year’s Eve which was the most amazing experience. We did not know what to expect but there is a huge buffet with world foods and anything you could want, music and activities.Overall fantastic stay and would thoroughly recommend",5,December 2019
Great resort,"We really loved our staying at Royal Orchid. The staff was very helpful, we managed to get a room upgrade for a competitive pricing, the housekeeping staff did an excellent job at cleaning the room and leaving towel artwork by Rajat Kurtikar. The bar is open 24/7 and the food can be ordered only up to 10:30pm. The food is excellent, best tempura shrimps 🦐 and fish fingers in Goa! The breakfast buffet is also very good. Overall, strongly recommended.",5,January 2020
Feedback,We visited along with two kids.overall experience is fabulous. Rooms are quite big. Food is awesome. It's on a very neat and clean and less crowded beach- Utraoda beach. Most important the staff - is very warm for services. Best was housekeeping staff who made overall experience great in providing extra metress for making two bedrooms. Last but not least Mr. Rajat from housekeeping has ensured room is extremely well organised every day. Andd he has also amazed us by doing every day creative room decoration work by towels and flowers.we will surely love to visit again.,5,January 2020
Three star passed as a Five star,"It is a shame I have to rate a 4.5 rated property by all fellow trip advisor buffs 3. I did not want to commit the mistake of others who found this place decent without realising they paid a 5 star rate for a 3 star property.First we landed in this place to find that the road was their parking. The reception shot they have on the side is a narrow corridor leading to reception by the roadside. Well we landed in a reception which was a 200 sq ft cramped place with a lobby which ended like a large suite.  The swimming pool picture shot so well, which we did not dip into in 2 days was a shaped pool fit for a small apartment.  If you can imagine it is a really small property with excellent photography which can fool a discerning eye.So what impressed was their rooms with a separate bedroom with a tucked in dressing space , corridor leading to a drawing space with bathroom in between with luxurious balconies.  Not sure if all rooms are so big but what we got was good. The beach access is excellent with a nice beach with a lot of shacks and food options so a  top rating for that. The breakfast was poorer than a 3 star just better than a bread and breakfast lodging with a few more options but max 10 thing on the buffet and they rate themselves 5 star.  They need to at least change this which they can.  Surprising Goa has not ensured uniform standards of rating allowing such average stay resorts from rating themselves as 5 star.  Room service is average, food quality just about average and overall landscape average.  Mind you for a three star I would rate this place 4-5 but not when you pay 10000 bucks for the night with many proper 5 star properties like Caravela or Majorda around.Not advised for families with small kids or large groups as this place has nothing good to offer except the rooms. Not going to come back here as it is not worth the money",3,January 2020
Good hotel,"Friendly atmosphere, good service, very cool location - 5 minutes walk to the beach, 20 minutes to downtown, great food, large adult pool and small for kids (see photo), gym and SPA, 2  places for volleyball. Very interesting feature - for 14 days on the territory of the hotel were spent 5 marriages, and on the beach we saw them almost every day (but this is not a minus). The cleaners of our room were especially liked, always invented and decorated with something new - Kanaj &amp; Sanford and Basoraj (hopefully spelled names).  I recommend the hotel for all parameters. Spent incredible days in Goa.",5,February 2020
Family holiday,Stayed for 2week in room no 409 looking out of the pool hotel very nice and staff was nice our room clean is lovely by 🙏Ramesh and 🙏bashuraj beautiful bed art work for osm 😘😘😘Also beach wos clean and amazing. Our room was small had a single bed shower aear was small any time 🙏housekeeping person keeps astra supply shampoo shower jel tea supply etc. Same peoplepeople which  made our holiday event better 👌👌👌👌👌👌👌👌,4,January 2020
Awesome Family Place,"The resort has great facilities to engage. For family or group of friends it's ideal. Swimming pool, proximity to the beach, garden, football, air hockey, fussball, games room and lot many things to indulge.Staff is very courteous and friendly. Nilufer at the front desk was really helpful and provided with a room upgrade at a reasonable price.Food has a decent variety however the taste of South Indian dishes can be improved upon.Overall an awesome vacation place and one stop destination to relax and unwind.",5,February 2020
Stay in luxury,"It was a very nice stay with my 2 small kids aged 2 and 4 , extremely satisfied, got upgraded from luxury suit to Royal plunge!!!!. Awesome. Had baby milk and meal on demand anytime of day. Kids enjoyed pool area and the Utorda Beach which was nearby , clean one. Had gone with breakfast and dinner , breakfast was sumptuous and very good, dinner could have been better with more options. Staff were ever smiling and we're very courteous and room service service was prompt. Lots of shacks nearby on beach where you can lounge all day and enjoy drinks at reasonable rates. Beach Sports activities within walking distance on beach. Had done pars-sailing and jetskiing",5,March 2020
Affordable Luxury on the beach.,i always love staying on beach front properties when visiting Goa.so this time came across this nice boutique resort in south goa with an amazing beachfront.The booking process was quite easy with good deals online and also was in touch with the executive sumitra and nita from the hotel to make my booking special as it was also my daughters birthday.Coming to the resort its quite close by from the airport approx 20 mins and charges from prepaid taxi is around 700/-.the reception area is decently sized with a good view of the pool and the lawns.the check-in was smooth with a refreshing welcome drink.we were appointed the club rooms with a balcony as we had asked.The rooms and bathroom are decently sized with a good balcony overlooking the lawns and pool.The beach is a 5 min walk through the property lawns which are beautiful with ducks lazying around.As of now only one restaurant named Cosmos was operational with good ac and a good sitout overlooking the swimming pool and far away view of the sean and the sand.(lovely it was ) The pool was well maintained and had a sunken bar which was nice.Coming to the plus pointsStaff was really sweet and always had a smile. Special mention for Ranjan and lokesh in the restaurant.suzana anita and Franseca on the reception.Sumitra for the booking and making sure what i wanted was all available with a yummy cake for my daughter.The breakfast had a good spread and ala carte options were quite yummy as well.had 4 meals and all of them were quite tasty.Things that can be improved.Please have a mat at the door to dust the sand and also a mat around the bed as the floor can get a little dusty and sandy after coming from the beach.The balcony chairs could have been a little more comfortable.Have a beach side restaurant or atleast a cafe so as to avoid the shack on the beach.all in all a good resort and wworth every penny spent.Thank you to Royal orchid team to make our holiday memorable.,4,November 2021
Beautiful hotel & beach,Me and my husband had a perfect holiday in goa. The hotel was lovely . Very pretty reception area which we enjoyed sitting in trying the amazing cocktails. Our room was cleaned every day by Rajat and ruzan  who did a good job and decorated our room with colourful flowers and made it fun.  The beach is beautiful with its white powder sand and it was our favourite spot for sunbathing and swimming,5,January 2020
Mid range hotel well positioned on beach.,"Decent hotel well positioned on Utorda Beach. Good restaurant and first class breakfast choice ( beware many stairs to first floor restaurant ). Limited activities on site but small water park for children and pretty good pool ( highlight being the two pool guys Shridhar &amp; Pradeep who are always friendly, attentive and willing to help ). Hotel perhaps needs a little TLC but staff are generally good and rooms competitively priced but vary in size &amp; quality. Can be a bit noisy until late if Indian Wedding booked. Few shops and lots of nearby beach shacks, particularly Baltons which is worth a visit or two. Must be good as we have booked again for Feb / Mar 2000...",4,February 2019
Nice location but disappointing overall,"The location is nice, but the cleanliness of room/bathroom and the training of food service staff leaves a lot to be desired.  Specifically, the hotel is located close to a great beach.  The room was not very clean -- the A/C was blowing stale air (maybe the filter needed a change) and the bathroom was smelly and had a lot of bugs/insects that I got bitten by.  The food service staff in Cosmos, a rather overpriced restaurant, was not very well-trained.  They ignored me most of the time, all the way from getting seated to getting a drinks order or offering roti or such.  I had to walk over each time to get their attention although there were several of them standing around, not particularly busy at all times.  It may be a function of poor training or low pay.  The food was okay, nothing to write home about.  On the balcony seating, I noticed numerous ants crawling right under the glass covering on the table.  The baggage staff and the security guys were very helpful and were perhaps the main people who went out of their way and made my stay okay.  Otherwise, my rating would have been even lower.  Disappointing hotel overall.",3,January 2020
Average at best,"Royal Orchid Resort has several things going for it but they don’t leverage it to its potential. The location is great : 25-30 mins from Airport, connected to a nice beach, plenty of Shacks if you travel in the season and the food is better than many other luxury hotels in South Goa. Where they mess up big time is in cleanliness and hygeine. The towels, bed linen will have several marks, they don’t provide towels on the beach, housekeeping takes forever to be done during the day ( evening). Hygeine is non - negotiable in Covid times but they don’t seem to be taking it seriously. I understand that they don’t charge a bomb, but nobody will care about a slightly higher price for a cleaner and safer experience.",4,December 2021
Wonderful property and Quality of food is excellent.,"We started our honeymoon (Although this wasn't a honeymoon package) and checked in on the 27th  with this hotel in Utroda and didn't know what to expect. We thought from the photos that the hotel is far away from the beach but it really isn't too much of a bother, its easily accessible and a leisurely walk away. The property is well maintained and the cleanliness was top notch. Although we were looking forward to use the pool or avail some spa services, we were informed that due to the Covid pandemic, these services are currently closed.  Our room was on the smaller side but we found it agreeable. there was also a sit out with cane chairs that we liked very much.The shining star of the hotel, that we felt was the amazing food served at all times. The Breakfast buffet had a lot of variety and was quite lip-smacking, A la carte also exceeded expectations. My compliments to the kitchen team. The staff at the hotel were all very cordial and greeted us with a smile every time. The serving staff at the restaurant  very efficient and we were very pleased with the service.The beach from the hotel is quite accessible and clean, maybe due to the pandemic there was a lull in the number of people but we enjoyed the low numbers. I would definitely recommend this hotel as well as look forward to visit at some point in the future.",5,November 2020
A Note of appreciation for a great  hospitality by Team of Royal Orchid Goa.,"We stayed at the Royal Orchid Beach Resort in the second week of  October 2021. We caught the monsoons and it rained heavily while we were there. But luckily there were enough spells of sunshine to enjoy the day.Our first day at the resort was a surprise for my hubby as we married during lockdown and it was perfectly arranged with the help of Mr Samarth and his team of Ashpak ,Ramesh &amp; Stanford they did a great bed decor on a very short notice, I am so grateful for the arrangements. We stayed on the ground floor in a villa and we loved the location, cleanliness, and privacy.The beach is about 100 m away, you can walk through  garden pathway of the resort through the delightful gardens. The beach is clean and peaceful and even there are no  hawkers to bother you. The breakfast spread was quite expansive ranging from fruit juices to breads, to Indian, and continental cuisines. Live counters for eggs, pancakes, and dosa. And some unique dishes like Goan Poiee, and Oriental dishes.The entire property is gorgeous; the reception is beautiful followed by a swimming pool. The gardens are lush and well-maintained,with ducks roaming around the gardens. I particularly appreciated the smooth transition of requests especially by Housekeeping &amp; Service which made it so easy for us to manage our asks during the stay.Would definitely be back here!",5,October 2021
With all my team at Royal orchid,The happiness was after getting to know that my colleagues they had a pleasant time. The royal orchid staff made it. Provided the best possible services which I could ever ask forFront desk staff are very cooperative. Nilufer helped me with the printouts.a thing to remmember was very helpfulFransquinha was helpful at the time of checkoutHousekeeping did their good job. By keeping our rooms mainatained.Prakash was helpful too,5,February 2020
