Title,Text,Rating,Trip Date
Understanding and Caring Staff,Booked this hotel for our stay in North Goa and we never regretted. Staff at from desk is warm and courteous and is accomodating. We requested an early check in around 12 and the same was offered. The room size is decent and the washroom are spacious. Housekeeping person was very pro at his work and followed up on his own to clean the room. The food from room service was also tasty and the order used to take only 15 minutes. This hotel focusses a lot on guest satisfaction and thats the best thing which would make me recommend it to others,5,March 2021
Very Good,"The hotel has an impressive set up - swimming pool area, large breakfast and dining area, games room, spa facilities, etc. The only drawback would be its location, especially during the busy period. A cab is required to go to Calangute or Baga beach, which is difficult during the festive season.",4,December 2019
Vacation in Goa,"Nice, comfy, clean, and convenient place near Calangute beach.We stayed here for 5 days and it was an unforgettable experience. Everything was so perfect - comfy beds, clean washroom &amp; room,complimentary breakfast, and properly sanitized property.Azzure by Spree is one of the amazing properties for hassle free stay in North Goa. ☑️Spacious and luxurious rooms with 24*7 room service.☑️provide pickup and drop facility to airport at nominal charges☑️Ample of scooty parking area☑️Proper safety measures were taken☑️Pool is available,but due to COVID guidelines they didn't allow anyoneto enter the swimming pool☑️Room balconies to enjoy your morning and evening drinksLastly,their staff is friendly and cooperative. Thanks for the amazing service.Overall, I loved staying here and will definitely like to stay here in the future.",4,December 2020
Perfect!,"The service was awesome! The staff guided me with the best places to do water sports. The reception was nice. However, the location is a bit tacky cause it is far away from any of the beaches which makes renting a bike necessary. Overall, a good hotel.",5,February 2020
Very clean and supporting staff,Breakfast osm also give  early check in and very near to calungut beach and center to area hotel supporting staff and timely cleaning service. Best for couple and family..very large room and nice facilities,5,December 2021
Value for money and beautiful property and best staff,"We have stayed here for the second time for 4n ,the room was are super clean, the staff is very courteous and friendly and will always greet you with a smile and available 24/7. The food is priced well and so is the quality. The staff took extra efforts to cook safe and hygenic food for our 1.5 yrs old toddler. Overall Mr Prithiviraj and his are by the best at hospitality. We had a lovely experience at zone connect calangute and thoroughly enjoyed all the amenities at the hotel.",5,August 2022
Traveller,"The location is easily accessible, the staffs are very polite and to be my bad day I was locked up myself in the balcony and the staff coordinated with me through balcony immediately they arranged the Technical Person @ 10pm night. The food was really awesome especially we can get South Indian foods like Idly, vada, Rava upma and semiya Upma. Early checkin and checkout is available according to the booking if you request them.  The Calangute Beach, Aquada Fort, Baga beach is very near to the hotel  within 5km radius.",5,August 2022
Zone connect stay,"A perfect stay with great hospitality combined with superb food.Maria was extremely helpful throught out, Harsh from housekeeping was supportive in getting all the things we required. Pool was an absolute delight to be in with clear n clorine free water.",5,August 2022
We had a blast all thanks to this lovely staff!,"We checked in during late November and stayed here until the early days of December and it was one of the most comfortable stays ever! The breakfast was amazing, everyday and the room service was always very nice. The staff at the reception desk is very warm and the ones working over at their café are the best! Even the drivers associated with them are great, in case you do not want to rent a two-wheeler. Albeit a bit costly, but the transportation was very comfortable. A few names I remember are- Mr. Nitin and Ms. Maria at the front, Mr. Bapi in the café (y'all have to try the drinks he prepares, especially 'Green eye') and Mr. Arup, for whom I am incredibly thankful as he helped me a lot with my booking. Thank you much Zone connect, we'd surely recommend you guys wherever we go and we will definitely come stay with you again, whenever we come back!",5,November 2021
Ecxellent service by treat restaurant .,We had great service by azzure goa.Food was awesome.Service was excellent.Hotel was very clean.Lobby was good.Wifi speed was very nice we really enjoyed with wifi speed.Spicial  thanks to Mr.palash and Mr bapi from Treat.Thanks Mr.Rahul for gave wifi..We will come soom.Thanks for all the aervice,5,March 2020
Amazing Hospitality,"Stayed at Azzure by Spree, North Goa for 04 nights from 26th Aug till 30th Aug 2019. It was an unforgettable experience as everything was perfect and exceeded our expectations.I feel, it’s one of the best and excellent property for hassle free stay in North Goa with excellent, luxurious and spacious rooms with 24*7 Room Service. Pick up &amp; drop facility also available with nominal charges.As a lady guests, they ensured our safety and offered us room upgrade to higher category. Everyone from entering till departure gave special attention on the requests &amp; made us feel more special.I would like to extend my special thanks to Ms. Baneshia (Front Office Manager) to accept our late checkout request &amp; her bunch of amazing, talented and cheerful team members including Housekeeping &amp; FnB members, who made each and everything possible to make our stay memorable from every aspect. I genuinely feel, their Hospitality brings a BIG Smile on the face of each &amp; every guest.Overall, I am extremely satisfied and happy with my choice of stay with “Azzure by Spree, North Goa”. Its highly recommend property to all those who are planning for a break and want to forget all worries and enjoy every bits and pieces.Will surely plan soon and come back for a longer duration to experience more.Keep Glowing Guys :) Wish you all the Luck &amp; success!Cheers",5,September 2019
